Keycode,period,"echo_TX_NEW_N_Preg_Feeding | Breastfeeding, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | <1, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 1-4, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 5-9, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 10-14, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 15-19, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 20-24, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 25-29, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 30-34, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 35-39, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 40-44, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 45-49, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 50+, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | Unknown Age, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | <1, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 1-4, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 5-9, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 10-14, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 15-19, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 20-24, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 25-29, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 30-34, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 35-39, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 40-44, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 45-49, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 50+, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | Unknown Age, Female, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | FSW, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | MSM, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | PWID, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | People in prisons and other enclosed settings, Positive",TX_NEW_N_2MONTHS_All Patients,TX_NEW_N_2MONTHS_Pregnant Women,TX_NEW_N_2MONTHS_Breastfeeding,TX_NEW_N_2MONTHS_Children (0-14 Yrs),TX_NEW_N_2MONTHS_Non-Pregnant Adults
200937,2022Q1,5,1,2,0,1,0,5,13,21,16,7,9,6,0,2,1,3,1,9,18,27,20,7,4,6,7,0,0,0,0,0,95,11,3,4,77
200657,2022Q1,1,1,1,1,1,0,4,13,14,7,8,4,4,0,0,2,0,0,3,17,18,14,6,2,2,2,0,3,0,0,1,69,6,1,4,58
200576,2022Q1,1,1,1,0,0,0,4,5,8,4,1,1,1,0,0,1,1,0,4,10,10,8,0,2,1,6,0,0,0,0,0,39,6,1,3,29
200513,2022Q1,0,0,0,0,0,0,2,2,4,6,2,6,3,0,0,1,2,0,0,6,6,9,4,3,4,4,0,1,0,0,0,38,4,0,2,32
200552,2022Q1,6,1,3,1,1,4,4,5,5,7,2,3,4,0,1,1,1,0,10,12,18,5,3,4,3,2,0,3,0,0,0,72,10,4,6,52
200530,2022Q1,1,0,1,0,0,0,1,4,4,3,3,1,3,0,1,2,0,0,1,7,6,8,4,2,2,1,0,0,0,0,0,35,1,1,3,30
200586,2022Q1,0,0,1,0,0,0,0,0,1,2,1,1,3,0,1,0,1,0,0,0,3,0,4,0,2,3,0,0,0,0,0,12,0,0,1,11
200532,2022Q1,1,2,1,0,0,0,0,5,4,7,4,1,2,0,0,0,2,0,2,7,11,6,2,1,0,0,0,0,0,0,0,28,6,1,1,20
321330,2022Q1,0,1,0,0,1,1,1,8,7,2,0,3,0,0,1,1,0,0,2,9,19,8,5,3,0,3,0,0,0,0,0,43,11,0,1,31
200500,2022Q1,4,1,3,0,1,1,1,8,8,4,4,7,5,0,1,1,0,0,10,17,30,22,9,4,0,4,0,1,0,0,0,99,5,3,7,84
200475,2022Q1,3,0,1,0,0,1,1,4,6,6,3,1,1,0,0,3,0,0,2,7,10,6,4,2,4,8,0,0,0,0,0,42,2,2,1,37
200643,2022Q1,2,1,2,1,1,0,2,6,2,3,2,4,2,0,2,1,0,1,3,14,5,5,1,6,2,3,0,0,0,0,0,41,7,2,3,29
200155,2022Q1,2,0,6,1,0,3,7,13,5,12,2,4,7,0,1,1,0,0,8,19,19,20,9,2,1,4,0,4,0,0,1,140,21,3,8,108
200490,2022Q1,0,0,0,0,0,0,1,4,11,3,2,1,2,0,0,1,0,0,3,3,11,5,1,0,0,0,0,0,0,0,0,29,2,0,1,26
201205,2022Q1,0,0,1,1,0,0,0,2,3,1,0,1,1,0,1,1,0,0,2,8,7,1,1,2,0,3,0,0,0,0,0,35,7,1,3,24
